# Avida resource data
# Mon Jun  4 16:56:46 2018
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resNOT

17800 0.0139999 
17900 0.0179998 
18000 0.002 
18100 0.00399999 
18200 0.00899996 
18300 0.0499988 
18400 0.0139999 
18500 0.00499999 
18600 0.0519987 
18700 0.0199998 
18800 0.0179998 
18900 0.00799997 
19000 0.0199998 
19100 0.00499999 
19200 0.043999 
19300 0.001 
19400 0.0309995 
19500 0.001 
19600 0.00899996 
19700 0.0329995 
19800 0.0499988 
19900 0.0159999 
20000 0.0109999 
20100 0.00499999 
20200 0.043999 
20300 0.0249997 
20400 0.0199998 
20500 0.00599998 
20600 0.0129999 
20700 0.00499999 
20800 0.00499999 
20900 0.00799997 
21000 0.00899996 
21100 0.001 
21200 0.0209998 
21300 0.001 
21400 0.002 
21500 0.00699998 
21600 0.00499999 
21700 0.00799997 
21800 0.0169999 
21900 0.002 
22000 0.0189998 
22100 0.00799997 
22200 0.0199998 
22300 0.0509987 
22400 0.0209998 
22500 0.00799997 
22600 0.0139999 
22700 0.0229997 
22800 0.0259997 
22900 0.0229997 
23000 0.044999 
23100 0.0119999 
23200 0.0289996 
23300 0.0199998 
23400 0.0209998 
23500 0.0569984 
23600 0.0169999 
23700 0.0179998 
23800 0.112994 
23900 0.002 
24000 0.0289996 
24100 0.003 
24200 0.002 
24300 0.00999995 
24400 0.00799997 
24500 0.0659978 
24600 0.0329995 
24700 0.0259997 
24800 0.0169999 
24900 0.0869962 
25000 0.0149999 
25100 0.00499999 
25200 0.00699998 
25300 0.0179998 
25400 0.00399999 
25500 0.0109999 
25600 0.00999995 
25700 0.0539986 
25800 0.0129999 
25900 0.0219998 
26000 0.0139999 
26100 0.0259997 
26200 0.00399999 
26300 0.00499999 
26400 0.001 
26500 0.0339994 
26600 0.0259997 
26700 0.00899996 
26800 0.00499999 
26900 0.0149999 
27000 0.00499999 
27100 0.0269996 
27200 0.003 
27300 0.0179998 
27400 0.0259997 
27500 0.00399999 
27600 0.00599998 
27700 0.0129999 
27800 0.0119999 
27900 0.00699998 
28000 0.00699998 
28100 0.003 
28200 0.0429991 
28300 0.002 
28400 0.0219998 
28500 0.003 
28600 0.0619981 
28700 0.044999 
28800 0.003 
28900 0.0349994 
29000 0.0289996 
29100 0.00699998 
29200 0.0269996 
29300 0.0529986 
29400 0.0289996 
29500 0.0139999 
29600 0.0209998 
29700 0.0729974 
29800 0.001 
29900 0 
30000 0.00499999 
30100 0.003 
30200 0.0139999 
30300 0.0519987 
30400 0.0509987 
30500 0.0119999 
30600 0.0679977 
30700 0.077997 
30800 0.0129999 
30900 0.0129999 
31000 0.001 
31100 0.0759971 
31200 0.00999995 
31300 0.0269996 
31400 0.0369993 
31500 0.0369993 
31600 0.0649979 
31700 0.0299996 
31800 0.0429991 
31900 0.0429991 
32000 0.00699998 
32100 0.0169999 
